seen_at,fingerprint,kind,net_edge,gross_edge,fees,max_contracts,capturable,expires_at,legs,description
2026-07-13T21:59:46Z,kalshi:KXGOLDMON-26JUL3117-T3351.99:BUY YES|polymarket:2677843:BUY YES,cross-platform,0.0003,0.001,0.0007,7.02,0.0,2026-07-31T21:00:00Z,"BUY YES~Gold drops to $3,400 · XAUUSD · by Aug 1~polymarket;BUY YES~Gold settles ≥ $3,351 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (LOW) $3,400 in July?' @ 0.009 on polymarket + BUY YES 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $3351.99' @ 0.990 on kalshi: costs $0.999 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
2026-07-13T21:59:46Z,kalshi:KXGOLDMON-26JUL3117-T3391.99:BUY YES|polymarket:2677843:BUY YES,cross-platform,0.0003,0.001,0.0007,7.02,0.0,2026-07-31T21:00:00Z,"BUY YES~Gold drops to $3,400 · XAUUSD · by Aug 1~polymarket;BUY YES~Gold settles ≥ $3,391 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (LOW) $3,400 in July?' @ 0.009 on polymarket + BUY YES 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $3391.99' @ 0.990 on kalshi: costs $0.999 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
2026-07-13T21:59:46Z,kalshi:KXGOLDMON-26JUL3117-T3311.99:BUY YES|polymarket:2677843:BUY YES,cross-platform,0.0003,0.001,0.0007,7.02,0.0,2026-07-31T21:00:00Z,"BUY YES~Gold drops to $3,400 · XAUUSD · by Aug 1~polymarket;BUY YES~Gold settles ≥ $3,311 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (LOW) $3,400 in July?' @ 0.009 on polymarket + BUY YES 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $3311.99' @ 0.990 on kalshi: costs $0.999 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
2026-07-13T23:57:23Z,kalshi:KXGOLDMON-26JUL3117-T3391.99:BUY YES|polymarket:2677842:BUY YES,cross-platform,0.0046,0.006,0.0014,200.0,0.92,2026-07-31T21:00:00Z,"BUY YES~Gold drops to $3,500 · XAUUSD · by Aug 1~polymarket;BUY YES~Gold settles ≥ $3,391 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (LOW) $3,500 in July?' @ 0.014 on polymarket + BUY YES 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $3391.99' @ 0.980 on kalshi: costs $0.994 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
2026-07-13T23:57:23Z,kalshi:KXGOLDMON-26JUL3117-T3431.99:BUY YES|polymarket:2677842:BUY YES,cross-platform,0.0046,0.006,0.0014,200.0,0.92,2026-07-31T21:00:00Z,"BUY YES~Gold drops to $3,500 · XAUUSD · by Aug 1~polymarket;BUY YES~Gold settles ≥ $3,431 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (LOW) $3,500 in July?' @ 0.014 on polymarket + BUY YES 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $3431.99' @ 0.980 on kalshi: costs $0.994 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
2026-07-14T12:46:10Z,kalshi:KXGOLDMON-26JUL3117-T3671.99:BUY YES|polymarket:2677840:BUY YES,cross-platform,0.0388,0.044,0.0052,10.0,0.39,2026-07-31T21:00:00Z,"BUY YES~Gold drops to $3,700 · XAUUSD · by Aug 1~polymarket;BUY YES~Gold settles ≥ $3,671 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (LOW) $3,700 in July?' @ 0.036 on polymarket + BUY YES 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $3671.99' @ 0.920 on kalshi: costs $0.956 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
2026-07-14T14:44:12Z,kalshi:KXGOLDMON-26JUL3117-T3431.99:BUY YES|polymarket:2677842:BUY YES,cross-platform,0.0233,0.026,0.0027,200.0,4.66,2026-07-31T21:00:00Z,"BUY YES~Gold drops to $3,500 · XAUUSD · by Aug 1~polymarket;BUY YES~Gold settles ≥ $3,431 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (LOW) $3,500 in July?' @ 0.014 on polymarket + BUY YES 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $3431.99' @ 0.960 on kalshi: costs $0.974 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
2026-07-14T14:44:12Z,kalshi:KXGOLDMON-26JUL3117-T3471.99:BUY YES|polymarket:2677842:BUY YES,cross-platform,0.0233,0.026,0.0027,200.0,4.66,2026-07-31T21:00:00Z,"BUY YES~Gold drops to $3,500 · XAUUSD · by Aug 1~polymarket;BUY YES~Gold settles ≥ $3,471 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (LOW) $3,500 in July?' @ 0.014 on polymarket + BUY YES 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $3471.99' @ 0.960 on kalshi: costs $0.974 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
2026-07-14T14:44:12Z,kalshi:KXGOLDMON-26JUL3117-T4671.99:BUY NO|polymarket:2677831:BUY YES,cross-platform,0.016,0.018,0.002,200.0,3.2,2026-07-31T21:00:00Z,"BUY YES~Gold hits $4,600 · XAUUSD · by Aug 1~polymarket;BUY NO~Gold settles ≥ $4,671 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (HIGH) $4,600 in July?' @ 0.012 on polymarket + BUY NO 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $4671.99' @ 0.970 on kalshi: costs $0.982 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
2026-07-14T14:44:12Z,kalshi:KXGOLDMON-26JUL3117-T4631.99:BUY NO|polymarket:2677831:BUY YES,cross-platform,0.016,0.018,0.002,200.0,3.2,2026-07-31T21:00:00Z,"BUY YES~Gold hits $4,600 · XAUUSD · by Aug 1~polymarket;BUY NO~Gold settles ≥ $4,631 · XAUUSD · Jul 31~kalshi","BUY YES 'Will Gold (XAUUSD) hit (HIGH) $4,600 in July?' @ 0.012 on polymarket + BUY NO 'Gold price on July 31, 2026 at 5:00 PM EDT? — above $4631.99' @ 0.970 on kalshi: costs $0.982 for a guaranteed $1 payout (YES on the first leg is forced whenever NO on the second loses)."
